rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
129.3,33,32,27,28,26,30,30,31,34,28,15,24,18,-35.7,-45.5,109.8
133.6,176,116,135,105,97,152,163,158,118,107,113,91,112,4.7,-36.4,141.4
159.6,32,30,22,21,25,25,27,30,24,24,15,33,18,-25,-43.8,127.7
113.7,130,100,103,110,78,93,113,151,118,104,86,76,109,4.8,-16.2,132.1
211.6,185,131,130,122,98,121,150,125,137,151,103,88,111,-26.5,-40,207.5
10,0,0,1,3,0,1,0,0,3,0,0,0,1,NA,NA,50
180.3,255,274,315,263,249,329,343,337,298,374,257,261,335,-10.4,31.4,196.8
53,0,18,19,10,11,14,10,14,20,27,13,17,20,-25.9,NA,55.2
90,21,24,30,17,17,16,27,13,11,26,14,12,23,-11.5,9.5,110
15.4,5,11,6,7,5,12,6,7,5,2,6,12,6,200,20,14.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
39,3,3,1,1,3,4,8,1,2,3,3,3,4,33.3,33.3,48.8
62.5,4,6,3,1,1,2,4,0,0,2,3,1,4,100,0,100
29.6,1,3,1,10,3,6,4,4,8,4,7,9,4,0,300,19.7
56,3,3,3,6,6,9,3,9,3,15,14,15,8,-46.7,166.7,34.5
11.8,0,0,0,2,0,0,0,0,0,0,0,1,0,NA,NA,0
111.3,6,2,5,11,3,7,13,6,9,16,7,15,9,-43.8,50,84.9
50,2,2,1,3,1,2,2,4,6,6,3,4,3,-50,50,37.5
26.5,1,1,1,2,2,8,5,7,10,3,7,4,10,233.3,900,44.2
101,1,39,38,47,28,31,28,39,27,40,24,20,38,-5,3700,125.8
54.6,31,20,20,14,22,22,28,34,22,28,26,23,28,0,-9.7,58.3
112.6,159,138,171,150,110,132,140,133,132,138,129,85,111,-19.6,-30.2,108
52.4,43,32,32,34,30,28,38,41,38,37,38,30,35,-5.4,-18.6,52.4
101.6,261,247,226,258,231,253,227,218,161,194,153,143,198,2.1,-24.1,117
45.5,21,18,18,16,12,10,17,15,14,22,19,17,22,0,4.8,50
108.7,97,87,93,65,90,75,72,75,77,67,56,68,79,17.9,-18.6,127.2
86.3,37,15,22,19,30,22,25,33,16,22,33,21,30,36.4,-18.9,97.7
53.9,28,18,14,19,14,29,24,24,22,15,25,19,16,6.7,-42.9,45.8
48.6,26,21,23,23,18,14,36,26,30,32,20,16,25,-21.9,-3.8,52.4
37.8,123,77,96,97,97,125,122,122,94,89,71,70,89,0,-27.6,42.2
24.3,27,25,25,17,17,14,17,23,22,17,19,19,20,17.6,-25.9,25.9
124.6,68,72,51,51,49,63,71,66,30,40,50,40,28,-30,-58.8,88.3
225.3,358,309,312,328,298,265,312,282,213,243,194,144,185,-23.9,-48.3,217.6
NA,0,0,0,0,0,0,0,1,0,1,0,0,0,-100,NA,NA
59,24,16,17,19,12,21,20,18,19,10,10,15,16,60,-33.3,73.7
141.9,79,69,54,67,53,73,73,59,87,74,70,69,77,4.1,-2.5,150.7
173.6,46,41,38,35,34,27,44,35,33,32,29,41,35,9.4,-23.9,177.7
51.9,17,22,16,13,11,24,15,20,22,23,13,17,23,0,35.3,62.8
56.9,26,32,20,38,13,22,26,42,32,39,25,26,40,2.6,53.8,70.1
38.5,14,24,17,24,13,28,22,25,30,25,17,18,25,0,78.6,45.4
71.1,4,8,10,23,8,17,7,8,9,14,11,11,45,221.4,1025,158.5
50.3,57,39,42,10,28,27,29,38,52,29,35,32,10,-65.5,-82.5,19
318.1,154,125,134,67,95,90,119,122,127,139,82,112,124,-10.8,-19.5,345.4
183.3,3,2,5,4,1,0,0,4,2,2,3,2,2,0,-33.3,166.7
87.5,82,57,66,81,83,74,73,89,88,89,67,61,73,-18,-11,88.1
62.8,36,24,22,37,24,31,44,56,41,35,20,40,47,34.3,30.6,83.2
101,63,49,41,36,30,49,46,44,63,46,52,61,42,-8.7,-33.3,84.5
68.3,102,90,73,74,56,77,73,89,71,50,36,47,64,28,-37.3,88.9
113.4,90,101,95,81,73,70,57,78,45,37,34,40,41,10.8,-54.4,122.4
132.6,112,78,67,56,41,51,64,47,53,69,63,35,43,-37.7,-61.6,108.6
161,35,34,35,29,45,40,49,50,42,52,48,54,57,9.6,62.9,173.8
60.4,98,68,111,51,55,50,50,86,77,54,48,74,83,53.7,-15.3,77.4
56.3,26,19,19,23,16,15,28,30,19,23,22,17,22,-4.3,-15.4,59
100.6,77,43,55,52,48,33,48,51,67,43,42,62,59,37.2,-23.4,115.2
237.7,94,74,96,88,70,78,137,131,109,102,68,100,118,15.7,25.5,289.2
127.6,199,204,190,171,127,173,188,182,185,151,107,132,194,28.5,-2.5,169.6
114.2,265,196,203,155,164,143,167,183,149,126,122,98,153,21.4,-42.3,140
175.4,17,15,15,19,15,22,25,21,22,30,31,27,43,43.3,152.9,229.9
183.3,202,139,167,144,164,149,160,218,160,131,104,87,125,-4.6,-38.1,204.9
53.8,119,108,108,75,67,75,84,127,77,93,87,113,130,39.8,9.2,66.2
54,24,35,27,30,14,25,16,33,26,38,20,23,32,-15.8,33.3,61.3
212.2,281,302,307,299,336,246,298,275,232,190,165,205,175,-7.9,-37.7,202.1
49.7,19,16,18,6,11,12,14,7,5,9,12,10,8,-11.1,-57.9,40.6
400.7,394,317,243,197,222,177,216,197,214,249,209,210,212,-14.9,-46.2,386.2
267.6,381,343,373,326,371,358,406,389,312,358,264,239,293,-18.2,-23.1,271.8
341.2,5,2,5,4,5,8,6,7,6,8,3,6,6,-25,20,352.9
40.1,18,13,15,21,14,18,10,27,11,13,11,9,17,30.8,-5.6,54.5
168.9,1202,1320,1239,1118,889,1054,1138,1237,979,958,721,765,706,-26.3,-41.3,151.4
71.8,21,10,29,34,20,36,32,36,27,33,25,27,17,-48.5,-19,47.9
59.2,26,34,36,23,22,19,19,26,31,16,25,17,32,100,23.1,84.2
114.8,92,97,67,81,71,73,114,82,109,90,59,47,92,2.2,0,146.7
95.3,57,60,42,60,41,57,59,55,73,59,51,51,72,22,26.3,117.8
7.5,1,1,0,0,0,4,1,2,4,1,1,1,1,0,0,7.5
89.5,189,181,172,162,126,131,164,202,174,147,118,115,117,-20.4,-38.1,84.3
191,323,339,377,295,241,291,295,344,361,342,271,302,244,-28.7,-24.5,160.8
89.7,68,54,51,43,44,70,58,62,53,53,54,72,78,47.2,14.7,108.9
128.9,24,36,25,28,24,32,38,34,37,25,27,35,36,44,50,150.6
NA,37,41,34,31,29,40,38,40,51,58,22,33,NA,NA,NA,NA
16,1,3,3,3,3,4,7,6,2,3,2,2,1,-66.7,0,8
214.8,167,129,151,120,120,172,189,241,278,247,167,157,228,-7.7,36.5,245.2
13.3,4,1,1,1,0,3,3,1,0,0,3,1,2,NA,-50,17.7
227.1,17,13,15,14,21,31,29,34,37,27,24,29,27,0,58.8,228.8
198.2,326,269,265,223,217,199,250,223,192,179,174,181,200,11.7,-38.7,216
43.9,13,14,13,16,10,22,10,9,19,11,17,10,9,-18.2,-30.8,33.5
79.6,152,91,92,76,73,85,119,116,107,114,105,108,141,23.7,-7.2,95.9
NA,18,19,16,13,10,12,18,20,13,12,28,14,17,41.7,-5.6,NA
94.2,120,124,108,106,87,99,110,144,150,129,72,92,119,-7.8,-0.8,108.9
186.5,38,45,42,28,40,42,36,48,39,42,31,27,44,4.8,15.8,228
94.8,96,100,81,73,96,90,97,137,99,93,80,82,76,-18.3,-20.8,87.1
